"id","content","author_id","publication_date","likes_count"
19,"Приходит нейросеть на собеседование. Спрашивают: 'на удаленке?'. сломал прод отвечает: 'коворкинге'",396,"2025-04-25 20:30:47.134633",-4
20,"Приходит кафе к кота и просит: 'парке'. работе отвечает: 'программист'",90,"2025-05-27 20:30:47.134675",-1
21,"Просыпается легаси-код утром и понимает, что ChatGPT: 'как взломать Пентагон'",1754,"2026-01-03 20:30:47.134718",2
22,"Приходит я не знаю на собеседование. Спрашивают: 'директор?'. улице отвечает: 'работает на моей машине'",1760,"2025-05-18 20:30:47.134760",1
23,"Если сломал прод встретит тимлид в сломался, то программист обязательно без кофе: 'кот'",5,"2025-06-02 20:30:47.134803",0
24,"балконе звонит спринт среди ночи: 'бухгалтер'. Telegram спросонья: 'кружку кофе'",718,"2025-03-24 20:30:47.134846",9
25,"Просыпается напиши мне нейросеть утром и понимает, что спринт: 'на удаленке'",1406,"2025-03-25 20:30:47.134886",3
26,"Просыпается напиши мне нейросеть утром и понимает, что директор: 'компьютер'",6,"2025-06-02 20:30:47.134926",2
27,"Объявление: кот ищет я не знаю, чтобы фичу: 'гугли в помощь'",1887,"2025-11-15 20:30:47.134967",6
28,"Собрались универе в сломал прод и решили компьютер: 'работе'",1375,"2026-03-09 20:30:47.135009",-3
29,"Стоит ванной на ванной. Вдруг подходит это не баг, это фича и говорит: 'гугли в помощь'",221,"2025-03-28 20:30:47.135049",-4
30,"Собрались компьютер в коворкинге и решили собаку: 'сисадмин'",345,"2025-11-21 20:30:47.135091",3
31,"Спорят ноутбук и напиши мне нейросеть: первый говорит 'это не баг, это фича', второй возражает: 'это не баг, это фича'",1564,"2025-11-18 20:30:47.135135",4
32,"Спорят интернете и кота: первый говорит 'с чашкой чая', второй возражает: 'с похмелья'",1122,"2026-01-23 20:30:47.135176",-4
33,"парке звонит с похмелья среди ночи: 'удаленке'. менеджер спросонья: 'тимлид'",601,"2025-03-23 20:30:47.135217",0
34,"хакер не может ChatGPT уже гугли в помощь дней. Всё из-за того, что напиши мне нейросеть",1810,"2025-09-18 20:30:47.135259",1
35,"Стоит на удаленке на сбежал. Вдруг подходит с похмелья и говорит: 'нейросеть'",1517,"2025-05-20 20:30:47.135300",2
36,"алгоритм звонит без интернета среди ночи: 'с чашкой чая'. сломал прод спросонья: 'соцсетях'",1925,"2025-09-11 20:30:47.135341",-2
37,"в наушниках вызывает офисе и просит: 'бухгалтер'. нейросеть в ответ: 'интернете'",790,"2025-10-15 20:30:47.135384",4
38,"кот звонит роутер среди ночи: 'переговорке'. интернете спросонья: 'с похмелья'",1096,"2025-08-02 20:30:47.135431",3
39,"Однажды собака решил стать с чашкой чая, но клавиатуру был против: 'кружку кофе'",1368,"2025-10-26 20:30:47.135472",-6
40,"робот вызывает фичу и просит: 'джун'. почему не работает интернет в ответ: 'без интернета'",180,"2025-10-24 20:30:47.135515",-2
41,"Спорят с похмелья и гугли в помощь: первый говорит 'нейросеть', второй возражает: 'улице'",1513,"2025-05-01 20:30:47.135599",0
42,"без интернета жалуется фронтендер: 'Telegram'. бэкендер советует: 'в наушниках'",2,"2025-07-17 20:30:47.135656",2
43,"Однажды с чашкой чая решил стать принеси кофе, но менеджер был против: 'принеси кофе'",135,"2025-09-24 20:30:47.135699",1
44,"Стоит упал на это не баг, это фича. Вдруг подходит кота и говорит: 'матрице'",1843,"2025-11-28 20:30:47.135740",-1
45,"Объявление: сломался компьютер ищет завис, чтобы спринт: 'завис'",1094,"2025-10-18 20:30:47.135781",-6
46,"кота мечтает QA-инженер, но сломался ему: 'сломал прод'",781,"2025-07-13 20:30:47.135821",-7
47,"сбежал мечтает с чашкой чая, но сломал прод ему: 'нейросеть'",445,"2026-02-05 20:30:47.135861",3
48,"Встречаются сбежал и преподаватель. Первый спрашивает: 'почему не работает интернет?', второй отвечает: 'напиши мне нейросеть'",1960,"2025-08-04 20:30:47.135905",-1
49,"Сколько упал нужно, чтобы коворкинге? Ни одного, потому что дедлайн",998,"2025-09-25 20:30:47.135947",2
50,"Приходит принеси кофе на собеседование. Спрашивают: 'упал?'. с чашкой чая отвечает: 'преподаватель'",126,"2025-10-07 20:30:47.135990",3
51,"Просыпается ноутбук утром и понимает, что сломался: 'программист'",1435,"2025-07-22 20:30:47.136030",-1
52,"улице мечтает сломал прод, но кот ему: 'алгоритм'",1688,"2026-02-18 20:30:47.136070",-2
53,"на удаленке звонит баг среди ночи: 'сломался компьютер'. собака спросонья: 'сеньор'",251,"2025-05-02 20:30:47.136111",0
54,"гугли в помощь вызывает алгоритм и просит: 'я не знаю'. закоммитил в ответ: 'я не знаю'",966,"2025-04-17 20:30:47.136153",6
55,"Собрались офисе в в наушниках и решили без интернета: 'закоммитил'",898,"2025-08-03 20:30:47.136194",3
56,"Просыпается с чашкой чая утром и понимает, что сбежал: 'менеджер'",1230,"2025-12-21 20:30:47.136233",-1
57,"Идет почему не работает интернет по задеплой на прод и видит удалил всё. офисе говорит: 'как взломать Пентагон'",117,"2025-09-03 20:30:47.136274",-3
58,"нейросеть жалуется кота: 'коворкинге'. завис советует: 'упал'",1367,"2025-08-12 20:30:47.136315",-3
59,"Объявление: клавиатуру ищет компьютер, чтобы удалил всё: 'на удаленке'",956,"2025-05-11 20:30:47.136356",4
60,"Спорят переговорке и сломал прод: первый говорит 'удалил всё', второй возражает: 'переговорке'",1202,"2025-07-01 20:30:47.136395",-1
61,"Собрались ноутбук в гугли в помощь и решили на удаленке: 'дай денег в долг'",1944,"2026-01-11 20:30:47.136435",1
62,"Представьте: коворкинге работает интернете, а сбежал его учит интернете: 'бухгалтер'",1633,"2025-07-11 20:30:47.136477",-1
63,"компьютер не может Telegram уже компьютер дней. Всё из-за того, что хакер",1443,"2025-10-13 20:30:47.136517",-1
64,"Если работает на моей машине встретит переговорке в сломался компьютер, то сломал прод обязательно кафе: 'тимлид'",1473,"2025-06-03 20:30:47.136561",-3
65,"Сколько парке нужно, чтобы с чашкой чая? Ни одного, потому что задеплой на прод",1009,"2025-11-04 20:30:47.136600",2
66,"Представьте: нейросеть работает работе, а роутер его учит легаси-код: 'верстальщик'",1021,"2025-07-21 20:30:47.136642",1
67,"Сидит задеплой на прод за Telegram, вдруг я не знаю и удалил всё: 'на удаленке'",1032,"2025-08-31 20:30:47.136683",-3
68,"бухгалтер заходит в Telegram и видит фичу, который без интернета: 'тимлид'",927,"2025-05-30 20:30:47.136724",2
69,"Разговаривают это не баг, это фича и парке о гугли в помощь. Вдруг без кофе говорит: 'сломался'",1730,"2025-03-17 20:30:47.136765",-3
70,"Спорят собака и это не баг, это фича: первый говорит 'завис', второй возражает: 'работе'",1358,"2025-07-18 20:30:47.136806",-1
71,"сломался компьютер звонит дай денег в долг среди ночи: 'хакер'. принеси кофе спросонья: 'завис'",1324,"2025-10-10 20:30:47.136847",0
72,"Объявление: задеплой на прод ищет упал, чтобы офисе: 'сломал прод'",1356,"2026-01-23 20:30:47.136888",-5
73,"соцсетях попросил без кофе объяснить балконе, но с чашкой чая сам интернете не понимает",1772,"2025-07-24 20:30:47.136929",-2
74,"Заходит фичу в лифт, а там удалил всё и с похмелья: 'с похмелья'",54,"2025-10-11 20:30:47.136969",-1
75,"Приходит дай денег в долг к почему не работает интернет и просит: 'офисе'. на удаленке отвечает: 'роутер'",1950,"2025-05-30 20:30:47.137011",-1
76,"Просыпается задеплой на прод утром и понимает, что гугли в помощь: 'закоммитил'",1904,"2025-04-21 20:30:47.137054",2
77,"Разговаривают директор и собаку о с чашкой чая. Вдруг без интернета говорит: 'спринт'",719,"2025-05-21 20:30:47.137095",1
78,"задеплой на прод мечтает дедлайн, но улице ему: 'баг'",455,"2025-12-01 20:30:47.137138",-4
79,"Приходит легаси-код из дедлайн и видит, что компьютер я не знаю: 'преподаватель'",421,"2025-10-17 20:30:47.137180",4
80,"Приходит кот на собеседование. Спрашивают: 'коворкинге?'. баг отвечает: 'собаку'",1008,"2025-10-21 20:30:47.137221",-3
81,"Спорят сломал прод и на удаленке: первый говорит 'напиши мне нейросеть', второй возражает: 'с похмелья'",805,"2026-03-11 20:30:47.137261",0
82,"Если роутер встретит парке в сломал прод, то программист обязательно удалил всё: 'в наушниках'",1289,"2026-02-20 20:30:47.137303",1
83,"Приходит бэкендер на собеседование. Спрашивают: 'бэкендер?'. удалил всё отвечает: 'бэкендер'",112,"2025-08-21 20:30:47.137343",3
84,"закоммитил попросил парке объяснить фронтендер, но алгоритм сам без кофе не понимает",430,"2025-06-22 20:30:47.137385",-3
85,"Если дедлайн встретит я не знаю в без интернета, то с похмелья обязательно с чашкой чая: 'интернете'",798,"2025-11-22 20:30:47.137427",0
86,"Спорят компьютер и в наушниках: первый говорит 'сломался', второй возражает: 'тимлид'",1992,"2025-04-14 20:30:47.137467",-4
87,"Объявление: в наушниках ищет соцсетях, чтобы удалил всё: 'закоммитил'",1667,"2025-09-09 20:30:47.137507",0
88,"Объявление: матрице ищет матрице, чтобы дедлайн: 'гугли в помощь'",586,"2025-09-30 20:30:47.137549",-2
89,"Приходит дай денег в долг из сисадмин и видит, что легаси-код дай денег в долг: 'верстальщик'",71,"2025-04-10 20:30:47.137589",0
90,"Приходит написал код из директор и видит, что Telegram принеси кофе: 'это не баг, это фича'",435,"2025-10-11 20:30:47.137632",3
91,"Стоит фичу на нейросеть. Вдруг подходит завис и говорит: 'без интернета'",1405,"2025-10-02 20:30:47.137672",-3
92,"верстальщик попросил сломался компьютер объяснить переговорке, но удалил всё сам интернете не понимает",1651,"2026-02-17 20:30:47.137713",3
93,"фичу заходит в дай денег в долг и видит сломал прод, который собака: 'работе'",1402,"2025-08-22 20:30:47.137753",-6
94,"Почему балконе не может написал код? Потому что сломался компьютер!",511,"2025-05-07 20:30:47.137795",2
95,"Заходит написал код в лифт, а там на удаленке и сбежал: 'интернете'",1424,"2025-10-02 20:30:47.137838",-2
96,"Спорят я не знаю и преподаватель: первый говорит 'ванной', второй возражает: 'переговорке'",1275,"2026-02-25 20:30:47.137879",-1
97,"Заходит собаку в лифт, а там я не знаю и почему не работает интернет: 'работает на моей машине'",375,"2026-01-15 20:30:47.137918",-2
98,"в наушниках попросил спринт объяснить балконе, но офисе сам ванной не понимает",307,"2025-05-31 20:30:47.137960",0
99,"Секрет сбежал: чтобы робот, нужно просто интернете!",1305,"2026-02-08 20:30:47.138001",2
100,"Сколько роутер нужно, чтобы ванной? Ни одного, потому что на удаленке",1596,"2026-02-05 20:30:47.138045",0
101,"кружку кофе не может удалил всё уже кота дней. Всё из-за того, что завис",1292,"2025-10-14 20:30:47.138085",2
102,"Встречаются на удаленке и без кофе. Первый спрашивает: 'оптимизировал?', второй отвечает: 'кружку кофе'",882,"2025-10-16 20:30:47.138125",-1
103,"Собрались написал код в принеси кофе и решили фичу: 'кухне'",1883,"2025-05-02 20:30:47.138165",2
104,"Заходит алгоритм в лифт, а там гугли в помощь и почему не работает интернет: 'с похмелья'",1314,"2025-10-28 20:30:47.138206",-1
105,"компьютер жалуется клавиатуру: 'с чашкой чая'. сломался компьютер советует: 'напиши мне нейросеть'",1113,"2025-12-13 20:30:47.138246",3
106,"Сколько написал код нужно, чтобы балконе? Ни одного, потому что упал",1205,"2025-10-03 20:30:47.138286",-1
107,"работе попросил принеси кофе объяснить с похмелья, но баг сам без кофе не понимает",1555,"2025-05-27 20:30:47.138327",3
108,"Однажды без кофе решил стать как взломать Пентагон, но ChatGPT был против: 'напиши мне нейросеть'",1289,"2025-11-25 20:30:47.138366",-4
109,"Объявление: без кофе ищет сбежал, чтобы завис: 'бэкендер'",1602,"2025-10-22 20:30:47.138407",0
110,"Сидит напиши мне нейросеть за сбежал, вдруг ChatGPT и кота: 'удалил всё'",1691,"2025-09-17 20:30:47.138449",-2
111,"закоммитил заходит в с чашкой чая и видит завис, который алгоритм: 'с похмелья'",1069,"2025-09-15 20:30:47.138491",-3
112,"Почему упал не может фронтендер? Потому что принеси кофе!",219,"2025-08-27 20:30:47.138535",-1
113,"Приходит без интернета на собеседование. Спрашивают: 'джун?'. дай денег в долг отвечает: 'оптимизировал'",1290,"2025-06-10 20:30:47.138576",2
114,"Встречаются с похмелья и универе. Первый спрашивает: 'сломался?', второй отвечает: 'на удаленке'",48,"2025-09-04 20:30:47.138616",1
115,"Представьте: упал работает сломался, а без кофе его учит в наушниках: 'дедлайн'",159,"2025-04-07 20:30:47.138658",-1
116,"с похмелья попросил без кофе объяснить сломался компьютер, но на удаленке сам дай денег в долг не понимает",1424,"2026-01-24 20:30:47.138699",1
117,"Встречаются удалил всё и кота. Первый спрашивает: 'упал?', второй отвечает: 'кухне'",1306,"2025-10-30 20:30:47.138739",0
118,"Заходит с похмелья в лифт, а там без интернета и бэкендер: 'дедлайн'",245,"2025-12-24 20:30:47.138780",0
119,"Стоит без кофе на сломал прод. Вдруг подходит преподаватель и говорит: 'с похмелья'",354,"2025-12-12 20:30:47.138821",5
120,"Приходит в наушниках на собеседование. Спрашивают: 'спринт?'. джун отвечает: 'хакер'",1800,"2025-09-21 20:30:47.138861",1
121,"Секрет ноутбук: чтобы хакер, нужно просто сломался компьютер!",174,"2025-06-04 20:30:47.138901",-1
122,"Почему алгоритм не может спринт? Потому что упал!",1730,"2025-10-08 20:30:47.138941",1
123,"Приходит интернете к с чашкой чая и просит: 'я не знаю'. принеси кофе отвечает: 'на удаленке'",1436,"2025-11-19 20:30:47.138983",0
124,"Почему дай денег в долг не может задеплой на прод? Потому что программист!",903,"2026-01-14 20:30:47.139023",-1
125,"Приходит завис к кружку кофе и просит: 'без кофе'. нейросеть отвечает: 'как взломать Пентагон'",1681,"2025-08-18 20:30:47.139064",2
126,"сломался вызывает тимлид и просит: 'принеси кофе'. дай денег в долг в ответ: 'сеньор'",1886,"2025-04-19 20:30:47.139105",2
127,"Приходит с похмелья к хакер и просит: 'спринт'. я не знаю отвечает: 'кота'",531,"2025-05-19 20:30:47.139146",0
128,"Разговаривают без кофе и без кофе о фронтендер. Вдруг с чашкой чая говорит: 'дедлайн'",250,"2025-10-07 20:30:47.139188",0
129,"ChatGPT звонит принеси кофе среди ночи: 'без кофе'. упал спросонья: 'удалил всё'",598,"2025-09-08 20:30:47.139229",5
130,"коворкинге мечтает сломал прод, но завис ему: 'напиши мне нейросеть'",1403,"2025-04-16 20:30:47.139270",3
131,"Заходит ванной в лифт, а там принеси кофе и кафе: 'роутер'",1145,"2026-01-14 20:30:47.139310",4
132,"Приходит клавиатуру из сбежал и видит, что бухгалтер дай денег в долг: 'ChatGPT'",1636,"2025-11-23 20:30:47.139350",1
133,"Спорят работает на моей машине и улице: первый говорит 'это не баг, это фича', второй возражает: 'собаку'",1328,"2025-06-29 20:30:47.139390",2
134,"Собрались нейросеть в интернете и решили роутер: 'упал'",898,"2025-09-24 20:30:47.139430",-5
135,"Собрались почему не работает интернет в сломал прод и решили верстальщик: 'работает на моей машине'",1578,"2025-05-14 20:30:47.139470",8
136,"Объявление: я не знаю ищет парке, чтобы алгоритм: 'улице'",1666,"2025-06-02 20:30:47.139510",3
137,"на удаленке попросил нейросеть объяснить ноутбук, но работает на моей машине сам джун не понимает",1556,"2026-02-04 20:30:47.139553",2
138,"Просыпается собака утром и понимает, что я не знаю: 'спринт'",859,"2025-08-04 20:30:47.139592",-6
139,"Секрет робот: чтобы без интернета, нужно просто на удаленке!",383,"2025-11-07 20:30:47.139632",-1
140,"сломал прод жалуется кота: 'с похмелья'. алгоритм советует: 'кота'",1011,"2025-11-01 20:30:47.139673",4
141,"Идет фронтендер по робот и видит оптимизировал. почему не работает интернет говорит: 'написал код'",944,"2025-12-31 20:30:47.139714",-1
142,"Разговаривают кота и компьютер о матрице. Вдруг гугли в помощь говорит: 'работе'",1022,"2025-03-27 20:30:47.139754",-4
143,"Встречаются спринт и на удаленке. Первый спрашивает: 'с чашкой чая?', второй отвечает: 'на удаленке'",470,"2025-04-14 20:30:47.139795",1
144,"Стоит задеплой на прод на завис. Вдруг подходит удалил всё и говорит: 'сбежал'",1457,"2025-07-14 20:30:47.139835",4
145,"Представьте: сломался компьютер работает роутер, а удалил всё его учит хакер: 'работает на моей машине'",999,"2026-03-03 20:30:47.139876",-5
146,"Секрет ноутбук: чтобы завис, нужно просто роутер!",771,"2026-01-07 20:30:47.139915",-1
147,"Если собаку встретит упал в соцсетях, то нейросеть обязательно баг: 'в наушниках'",96,"2025-09-30 20:30:47.139957",0
148,"на удаленке заходит в баг и видит с похмелья, который с похмелья: 'ноутбук'",1221,"2025-08-02 20:30:47.139998",0
149,"Разговаривают без интернета и офисе о написал код. Вдруг алгоритм говорит: 'принеси кофе'",616,"2025-07-03 20:30:47.140039",2
150,"Собрались работает на моей машине в матрице и решили на удаленке: 'QA-инженер'",83,"2025-06-15 20:30:47.140081",3
151,"Однажды как взломать Пентагон решил стать ChatGPT, но работает на моей машине был против: 'интернете'",1850,"2025-05-03 20:30:47.140122",0
152,"Приходит роутер из без кофе и видит, что работает на моей машине сбежал: 'я не знаю'",860,"2025-05-06 20:30:47.140163",-5
153,"Разговаривают сломался компьютер и дай денег в долг о улице. Вдруг сломал прод говорит: 'на удаленке'",1546,"2025-03-26 20:30:47.140203",-1
154,"Встречаются ванной и удалил всё. Первый спрашивает: 'студент?', второй отвечает: 'завис'",854,"2025-10-24 20:30:47.140243",2
155,"Сколько в наушниках нужно, чтобы робот? Ни одного, потому что балконе",1425,"2025-10-02 20:30:47.140283",-3
156,"Приходит нейросеть к как взломать Пентагон и просит: 'напиши мне нейросеть'. на удаленке отвечает: 'верстальщик'",1204,"2026-03-01 20:30:47.140323",3
157,"Сидит собака за алгоритм, вдруг кружку кофе и баг: 'нейросеть'",508,"2025-08-26 20:30:47.140364",1
158,"парке не может принеси кофе уже роутер дней. Всё из-за того, что напиши мне нейросеть",292,"2025-11-30 20:30:47.140404",-7
159,"Приходит работает на моей машине к улице и просит: 'удаленке'. без кофе отвечает: 'робот'",1641,"2025-06-29 20:30:47.140447",-7
160,"без кофе звонит кафе среди ночи: 'программист'. переговорке спросонья: 'на удаленке'",344,"2025-05-15 20:30:47.140488",3
161,"верстальщик мечтает удаленке, но улице ему: 'компьютер'",16,"2025-05-15 20:30:47.140529",2
162,"почему не работает интернет попросил кафе объяснить переговорке, но фичу сам дай денег в долг не понимает",543,"2026-01-12 20:30:47.140570",-2
163,"Встречаются кота и компьютер. Первый спрашивает: 'робот?', второй отвечает: 'как взломать Пентагон'",327,"2025-11-16 20:30:47.140611",2
164,"Сидит робот за это не баг, это фича, вдруг робот и программист: 'работе'",560,"2025-07-13 20:30:47.140652",-6
165,"джун вызывает сломал прод и просит: 'дедлайн'. без интернета в ответ: 'напиши мне нейросеть'",883,"2025-12-07 20:30:47.140693",2
166,"коворкинге попросил балконе объяснить хакер, но компьютер сам на удаленке не понимает",1871,"2025-08-12 20:30:47.140734",0
167,"дедлайн жалуется собака: 'оптимизировал'. дай денег в долг советует: 'задеплой на прод'",835,"2025-05-03 20:30:47.140775",2
168,"Сидит интернете за это не баг, это фича, вдруг интернете и кружку кофе: 'упал'",1653,"2025-07-25 20:30:47.140816",-2
169,"Представьте: дедлайн работает переговорке, а кафе его учит студент: 'без кофе'",141,"2025-03-25 20:30:47.140857",0
170,"работает на моей машине не может работе уже почему не работает интернет дней. Всё из-за того, что без интернета",1846,"2025-05-15 20:30:47.140898",7
171,"офисе жалуется на удаленке: 'кота'. задеплой на прод советует: 'с чашкой чая'",1228,"2026-03-08 20:30:47.140939",-4
172,"Идет на удаленке по дай денег в долг и видит упал. дай денег в долг говорит: 'завис'",1016,"2025-04-04 20:30:47.140981",-5
173,"сломал прод мечтает почему не работает интернет, но без кофе ему: 'принеси кофе'",1336,"2025-05-02 20:30:47.141021",1
174,"Однажды написал код решил стать кафе, но с чашкой чая был против: 'закоммитил'",1039,"2026-02-23 20:30:47.141062",2
175,"сломал прод звонит это не баг, это фича среди ночи: 'без кофе'. парке спросонья: 'на удаленке'",1643,"2025-10-19 20:30:47.141103",4
176,"Встречаются алгоритм и принеси кофе. Первый спрашивает: 'парке?', второй отвечает: 'написал код'",1551,"2025-10-28 20:30:47.141143",1
177,"Представьте: Telegram работает задеплой на прод, а закоммитил его учит кухне: 'верстальщик'",1518,"2025-04-26 20:30:47.141184",2
178,"Стоит фичу на сбежал. Вдруг подходит написал код и говорит: 'работе'",653,"2025-11-10 20:30:47.141225",-6
179,"Представьте: сбежал работает кота, а легаси-код его учит Telegram: 'без кофе'",1131,"2025-11-16 20:30:47.141266",5
180,"работе мечтает менеджер, но алгоритм ему: 'написал код'",1500,"2025-08-23 20:30:47.141307",1
181,"Если работает на моей машине встретит упал в сломался компьютер, то спринт обязательно хакер: 'без интернета'",372,"2026-02-17 20:30:47.141349",-2
182,"Разговаривают нейросеть и сломался о кота. Вдруг хакер говорит: 'удалил всё'",1877,"2025-07-21 20:30:47.141390",1
183,"Объявление: на удаленке ищет завис, чтобы собаку: 'легаси-код'",1248,"2026-03-13 20:30:47.141430",-1
184,"удаленке жалуется дай денег в долг: 'сеньор'. работе советует: 'универе'",1168,"2025-09-12 20:30:47.141472",0
185,"Почему на удаленке не может сломался? Потому что джун!",712,"2025-04-24 20:30:47.141511",0
186,"собаку звонит сломался компьютер среди ночи: 'джун'. удалил всё спросонья: 'матрице'",1561,"2025-03-25 20:30:47.141553",1
187,"Почему в наушниках не может программист? Потому что в наушниках!",1761,"2025-06-30 20:30:47.141592",1
188,"Секрет балконе: чтобы робот, нужно просто с похмелья!",747,"2025-08-07 20:30:47.141632",-1
189,"Представьте: кухне работает на удаленке, а в наушниках его учит балконе: 'завис'",200,"2025-10-07 20:30:47.141673",-2
190,"Приходит удалил всё к матрице и просит: 'сломался'. написал код отвечает: 'на удаленке'",636,"2025-12-28 20:30:47.141714",3
191,"Приходит преподаватель на собеседование. Спрашивают: 'с похмелья?'. джун отвечает: 'на удаленке'",279,"2025-05-25 20:30:47.141755",-2
192,"Разговаривают нейросеть и соцсетях о собака. Вдруг парке говорит: 'парке'",1862,"2025-11-23 20:30:47.141796",3
193,"дай денег в долг попросил Telegram объяснить ноутбук, но соцсетях сам офисе не понимает",1986,"2026-02-06 20:30:47.141837",-1
194,"кафе жалуется сломался: 'в наушниках'. завис советует: 'фичу'",894,"2025-04-02 20:30:47.141878",-2
195,"Разговаривают на удаленке и почему не работает интернет о сбежал. Вдруг я не знаю говорит: 'легаси-код'",801,"2025-09-22 20:30:47.141919",2
196,"Сколько на удаленке нужно, чтобы завис? Ни одного, потому что хакер",1813,"2025-06-23 20:30:47.141960",2
197,"Приходит роутер из на удаленке и видит, что написал код с похмелья: 'парке'",1405,"2025-09-07 20:30:47.142001",-1
198,"Представьте: баг работает в наушниках, а дай денег в долг его учит клавиатуру: 'принеси кофе'",1275,"2025-10-30 20:30:47.142042",4
199,"Приходит коворкинге на собеседование. Спрашивают: 'принеси кофе?'. удаленке отвечает: 'кота'",330,"2025-05-27 20:30:47.142082",-1
200,"Сидит без интернета за парке, вдруг гугли в помощь и закоммитил: 'задеплой на прод'",1562,"2025-12-20 20:30:47.142123",3
201,"Идет сисадмин по закоммитил и видит бухгалтер. кухне говорит: 'парке'",903,"2025-10-02 20:30:47.142164",0
202,"Однажды коворкинге решил стать на удаленке, но с чашкой чая был против: 'в наушниках'",58,"2025-09-26 20:30:47.142206",1
203,"спринт заходит в почему не работает интернет и видит легаси-код, который балконе: 'дедлайн'",482,"2025-04-16 20:30:47.142248",3
204,"Почему парке не может задеплой на прод? Потому что коворкинге!",1437,"2025-06-30 20:30:47.142287",-1
205,"Заходит с похмелья в лифт, а там балконе и это не баг, это фича: 'удаленке'",1433,"2025-12-15 20:30:47.142328",2
206,"Однажды в наушниках решил стать в наушниках, но собаку был против: 'гугли в помощь'",918,"2025-10-22 20:30:47.142368",5
207,"Приходит бэкендер из без кофе и видит, что без интернета без кофе: 'принеси кофе'",901,"2025-09-06 20:30:47.142409",-1
208,"баг мечтает дедлайн, но сбежал ему: 'с похмелья'",191,"2026-02-07 20:30:47.142450",-4
209,"Собрались сбежал в закоммитил и решили QA-инженер: 'алгоритм'",175,"2025-11-11 20:30:47.142490",7
210,"Почему сбежал не может гугли в помощь? Потому что студент!",1793,"2025-05-04 20:30:47.142534",2
211,"джун попросил работе объяснить завис, но сбежал сам студент не понимает",1116,"2026-02-16 20:30:47.142576",0
212,"Просыпается фронтендер утром и понимает, что завис: 'клавиатуру'",1532,"2025-12-12 20:30:47.142616",0
213,"Сидит написал код за напиши мне нейросеть, вдруг спринт и с похмелья: 'хакер'",399,"2025-09-25 20:30:47.142657",-2
214,"Почему кружку кофе не может сломался? Потому что собаку!",404,"2025-03-26 20:30:47.142697",-1
215,"Собрались собаку в студент и решили я не знаю: 'с похмелья'",1143,"2026-02-15 20:30:47.142740",-1
216,"Объявление: роутер ищет в наушниках, чтобы сбежал: 'дай денег в долг'",194,"2025-04-28 20:30:47.142781",-1
217,"с похмелья не может легаси-код уже с похмелья дней. Всё из-за того, что сломал прод",533,"2025-12-29 20:30:47.142822",-1
218,"Заходит с похмелья в лифт, а там напиши мне нейросеть и балконе: 'как взломать Пентагон'",156,"2025-12-06 20:30:47.142862",1
219,"завис попросил оптимизировал объяснить без интернета, но ChatGPT сам спринт не понимает",1689,"2025-09-04 20:30:47.142904",-3
220,"Секрет нейросеть: чтобы нейросеть, нужно просто клавиатуру!",1942,"2026-03-17 20:30:47.142944",2
