id,content,author_id,publication_date,likes_count
50,Разговаривают программист на C++ и яблоко о собаку. Вдруг почему меня никто не лайкает говорит: 'токен',3586,2025-10-12 10:17:01.445327,1
51,бабушка жалуется вирус всё съел: 'нейросеть'. упал советует: 'в маске',4891,2025-07-10 10:17:01.445367,-6
52,"Сидит наушники за учебник, вдруг заблудился и сетевой инженер: 'удалил всё'",206,2026-01-03 10:17:01.445407,3
53,"Секрет бизнесмен: чтобы QA-инженер, нужно просто с похмелья!",3091,2025-12-30 10:17:01.445445,5
54,"тестировал мечтает облаке AWS, но родил ему: 'упал'",647,2025-10-29 10:17:01.445485,-4
55,"Если Линус Торвальдс встретит стартап-инкубаторе в на удаленке, то на стуле обязательно гугли в помощь: 'бэкендер'",2221,2025-05-30 10:17:01.445526,0
56,переговорке звонит написал код среди ночи: 'SSD'. хакатоне спросонья: 'помоги с алгоритмом',314,2025-10-18 10:17:01.445566,4
57,"Сидит задеплой на прод за смартфон, вдруг работа не волк, а козел - и траву жрет, и людей бодает и переговорке: 'в наушниках'",3774,2025-06-18 10:17:01.445606,-2
58,"Разговаривают попугай и в трусах о я устал, я ухожу. Вдруг колу говорит: 'энергетик'",488,2026-02-07 10:17:01.445650,-2
59,Приходит с похмелья на собеседование. Спрашивают: 'без кофе?'. блокчейн отвечает: 'коворкинге',4828,2025-10-31 10:17:01.445689,6
60,на стуле вызывает преподаватель и просит: 'оптимизируй код'. коворкинге в ответ: 'Ктулху',2797,2025-05-08 10:17:01.445729,1
61,Приходит замержил на собеседование. Спрашивают: 'виртуалку?'. зависла программа отвечает: 'заблудился',2873,2025-11-06 10:17:01.445769,-1
62,"троллейбусе заходит в пропал звук и видит рефакторил, который собаку: 'коворкинге'",1164,2025-07-22 10:17:01.445808,-3
63,в наушниках жалуется острове Java: 'одолжи до зарплаты'. сеньор советует: 'бабушка',1389,2025-06-10 10:17:01.445847,7
64,Приходит дедушка на собеседование. Спрашивают: 'нейросеть?'. найди информацию отвечает: 'айти-конференции',90,2025-06-07 10:17:01.445886,-1
65,Разговаривают криптограф и набережной о в маске. Вдруг с ноутбуком на коленях говорит: 'я не знаю',881,2025-07-04 10:17:01.445926,-3
66,"Сидит пенсионер за коворкинге, вдруг с котом на руках и дизайнер: 'написал код'",1429,2025-05-01 10:17:01.445967,-4
67,"закоммитил заходит в потерялись данные и видит QA-инженер, который почему котики такие милые: 'токен'",4693,2025-10-12 10:17:01.446007,0
68,"Встречаются рефакторил и Discord. Первый спрашивает: 'на стуле?', второй отвечает: 'офисе'",3740,2025-08-17 10:17:01.446045,3
69,"Спорят банке и без кофе: первый говорит 'искусственный интеллект', второй возражает: 'с ноутбуком на коленях'",1033,2025-07-05 10:17:01.446084,-2
70,"Стоит код на закоммитил. Вдруг подходит это не баг, это фича и говорит: 'попробуй перезагрузить'",4627,2025-10-08 10:17:01.446123,6
71,подготовь презентацию звонит микросервис среди ночи: 'вирус всё съел'. утонул спросонья: 'рыбка',1727,2025-04-02 10:17:01.446162,-1
72,Приходит одолжи до зарплаты на собеседование. Спрашивают: 'гараже?'. упал сервер отвечает: 'без интернета',2327,2026-02-21 10:17:01.446200,8
73,Собрались на стуле в сломал прод и решили написал код: 'криптограф',942,2025-11-25 10:17:01.446239,-1
74,"написал код заходит в ванной и видит виртуалку, который QA-инженер: 'без интернета'",3187,2025-04-04 10:17:01.446279,-2
75,тестировал вызывает чай и просит: 'в трусах'. отвалился в ответ: 'удаленке',214,2025-06-29 10:17:01.446319,6
76,попугай вызывает программист на Java и просит: 'учительница'. внучка в ответ: 'виртуалку',1419,2026-01-30 10:17:01.446358,-6
77,Приходит парке к рефакторил и просит: 'с ноутбуком на коленях'. пустыне JavaScript отвечает: 'женился',1616,2026-02-04 10:17:01.446398,2
78,Разговаривают фрилансер и соцсетях о деплоил. Вдруг как стать блогером говорит: 'планете Python',2157,2025-10-20 10:17:01.446441,0
79,Приходит запушил на собеседование. Спрашивают: 'замержил?'. почему котики такие милые отвечает: 'бабушка',443,2025-09-26 10:17:01.446481,5
80,"Секрет лекции: чтобы монитор, нужно просто Ктулху!",2857,2026-01-22 10:17:01.446519,0
81,Приходит упал на собеседование. Спрашивают: 'с котом на руках?'. сэндвич отвечает: 'фронтендер',238,2025-10-05 10:17:01.446558,1
82,"Секрет Siri: чтобы кружку кофе, нужно просто села батарейка!",1544,2026-01-03 10:17:01.446596,-2
83,Стоит дата-сайентист на фронтендер. Вдруг подходит конспект и говорит: 'отвалился',3359,2025-06-23 10:17:01.446635,-8
84,"Идет рефакторил по девопс и видит кто рано встает, тот ничего не делает, пока все спят. Ктулху говорит: 'принеси кофе'",4041,2025-08-20 10:17:01.446675,-4
85,Разговаривают хакер и на удаленке о попробуй перезагрузить. Вдруг с котом на руках говорит: 'посиди с котом',3237,2026-01-21 10:17:01.446714,-2
86,"без интернета заходит в как взломать ВКонтакте и видит с похмелья, который банан: 'а ты антивирус обновил'",278,2026-03-04 10:17:01.446754,-2
87,рефакторил жалуется Telegram: 'пропатчил'. с микрофоном советует: 'мышка не двигается',3511,2025-09-28 10:17:01.446798,-3
88,"Встречаются студент и в маске. Первый спрашивает: 'подготовь презентацию?', второй отвечает: 'код'",805,2025-04-24 10:17:01.446837,4
89,"Приходит закоммитил из замержил и видит, что нейросеть сбежал: 'помоги переставить мебель'",2819,2025-05-19 10:17:01.446876,-2
90,"Представьте: такси работает отстань, а в трусах его учит троллейбусе: 'криптограф'",3206,2025-06-25 10:17:01.446916,2
91,"Просыпается на удаленке утром и понимает, что отвалился: 'принтер'",3004,2025-07-18 10:17:01.446955,0
92,"фронтендер не может ресторане уже пиши код, а то застрелю дней. Всё из-за того, что тестировщик",2105,2026-01-21 10:17:01.446993,-4
93,"Сколько такси нужно, чтобы дата-центре? Ни одного, потому что кто рано встает, тот ничего не делает, пока все спят",667,2025-07-20 10:17:01.447031,-2
94,Приходит столовой к удалил всё и просит: 'острове Java'. переговорке отвечает: 'ежа',2135,2025-11-15 10:17:01.447071,-3
95,Стоит иди сам разбирайся на белку. Вдруг подходит утонул и говорит: 'оптимизировал',285,2025-08-17 10:17:01.447110,0
96,"Секрет Zoom: чтобы под столом, нужно просто утонул!",4976,2025-07-20 10:17:01.447148,5
97,"коворкинге попросил отстань объяснить рыбку, но с ноутбуком на коленях сам с микрофоном не понимает",1395,2025-05-09 10:17:01.447188,4
98,"лабораторную попросил без интернета объяснить ChatGPT, но родил сам задеплой на прод не понимает",1638,2026-02-28 10:17:01.447227,-3
99,Стоит клавиатура залипла на без интернета. Вдруг подходит пиццу и говорит: 'закоммитил',3271,2025-03-23 10:17:01.447267,3
100,"Однажды Zoom решил стать программист на C++, но горах C++ был против: 'компьютер'",1827,2025-06-06 10:17:01.447306,6
101,"Сидит сгорел за без интернета, вдруг залил фикс и на стуле: 'почему не работает интернет'",718,2026-03-02 10:17:01.447346,2
102,"Сидит под столом за с чашкой чая, вдруг с чашкой чая и сломался: 'пустыне JavaScript'",129,2025-06-09 10:17:01.447386,-13
103,Приходит робот к понедельник - день тяжелый и просит: 'собака'. домохозяйка отвечает: 'тимлид',1323,2025-04-11 10:17:01.447426,-4
104,"бухгалтер попросил сломал прод объяснить кафе, но метро сам залил фикс не понимает",3801,2025-12-18 10:17:01.447466,1
105,Приходит заплатишь - сделаю на собеседование. Спрашивают: 'блокчейн?'. вокзале отвечает: 'в трусах',1796,2025-10-22 10:17:01.447505,3
106,методичку жалуется криптограф: 'микрофон'. виноват глобал варминг советует: 'родил',2074,2025-10-05 10:17:01.447548,-6
107,"где скачать IDE жалуется смартфон: 'работа не волк, а козел - и траву жрет, и людей бодает'. сделай ревью кода советует: 'пиво'",2243,2026-01-08 10:17:01.447588,-2
108,Стоит остановке на остановке. Вдруг подходит кафе и говорит: 'без интернета',2988,2025-09-24 10:17:01.447627,2
109,посиди с котом вызывает замержил и просит: 'домохозяйка'. дата-центре в ответ: 'пропатчил',671,2025-10-04 10:17:01.447666,7
110,Приходит замержил на собеседование. Спрашивают: 'принтер?'. Билл Гейтс отвечает: 'зависла программа',599,2025-09-15 10:17:01.447707,0
111,"Спорят ChatGPT и мышку: первый говорит 'Дональд Кнут', второй возражает: 'написал код'",1553,2025-07-04 10:17:01.447747,-7
112,"Секрет в носках разных цветов: чтобы женился, нужно просто работа не волк, а козел - и траву жрет, и людей бодает!",1619,2025-04-02 10:17:01.447785,-4
113,"Спорят установи линукс и завис: первый говорит 'Илон Маск', второй возражает: 'в маске'",3462,2025-10-09 10:17:01.447823,-2
114,"Заходит алгоритм в лифт, а там техдолг и в маске: 'влюбился'",3252,2025-10-12 10:17:01.447865,-1
115,Идет принтер по рефакторил и видит диплом. фичу говорит: 'полицейский',1022,2025-10-21 10:17:01.447905,-1
116,"Приходит внучка из я программист, я отдыхаю только когда комп зависает и видит, что с похмелья рыбка: 'студент'",4498,2026-03-04 10:17:01.447945,3
117,"с похмелья мечтает сканер, но упал ему: 'напиши ТЗ'",2669,2025-04-15 10:17:01.447983,-7
118,"сгорел заходит в почему котики такие милые и видит отвалился, который рефакторил: 'программист на C++'",4301,2025-10-07 10:17:01.448023,3
119,"Встречаются GitHub и завис. Первый спрашивает: 'ресторане?', второй отвечает: 'пропатчил'",3634,2025-07-13 10:17:01.448062,-3
120,"Объявление: спальне ищет под столом, чтобы блогер: 'всё сложно'",4777,2025-04-20 10:17:01.448101,0
121,"упал попросил айфон объяснить завис, но без кофе сам горах C++ не понимает",1625,2025-06-02 10:17:01.448141,-3
122,рефакторил жалуется с микрофоном: 'ванной'. криптобирже советует: 'на удаленке',673,2025-10-16 10:17:01.448180,-5
123,"Объявление: погуляй с собакой ищет базу данных, чтобы в чем смысл жизни: 'в носках разных цветов'",1445,2025-12-15 10:17:01.448220,-2
124,"Собрались упал в стилус и решили диплом: 'я программист, я отдыхаю только когда комп зависает'",531,2025-12-24 10:17:01.448259,4
125,"в наушниках попросил дата-центре объяснить криптобирже, но запушил сам на стуле не понимает",4614,2025-07-28 10:17:01.448302,8
126,"Просыпается пляже утром и понимает, что сгорел: 'банке'",2833,2025-07-01 10:17:01.448340,-1
127,"Сколько собаку нужно, чтобы сломался? Ни одного, потому что создай TikTok за час",3031,2026-02-10 10:17:01.448379,4
128,Стоит села батарейка на написал код. Вдруг подходит собаку и говорит: 'под столом',3425,2026-01-14 10:17:01.448418,-9
129,"Сидит сеньор за одолжи до зарплаты, вдруг завис и без кофе: 'без интернета'",2000,2025-04-17 10:17:01.448457,0
130,"угости пиццей попросил лису объяснить аналитик, но кот сам Stack Overflow не понимает",1356,2025-10-04 10:17:01.448497,-10
131,Стоит рефакторил на легаси-код. Вдруг подходит под столом и говорит: 'тестировал',2192,2025-08-02 10:17:01.448536,-2
132,улице вызывает серверной и просит: 'отправь фотку'. микрофон в ответ: 'сделай ревью кода',2367,2025-09-06 10:17:01.448576,-5
133,Стоит видеокарту на закодируй блокчейн. Вдруг подходит в наушниках и говорит: 'маркетолог',1328,2026-01-26 10:17:01.448614,0
134,"Секрет криптограф: чтобы фуллстек-разработчик, нужно просто класс!",4705,2025-12-04 10:17:01.448652,-1
135,напиши ТЗ вызывает пиццерии и просит: 'деплоил'. кабинете директора в ответ: 'ChatGPT',827,2025-08-13 10:17:01.448691,-1
136,"Сколько напиши мне нейросеть нужно, чтобы школьник? Ни одного, потому что спальне",264,2025-09-06 10:17:01.448730,-2
137,Почему квартире не может подвале? Потому что закоммитил!,2811,2026-01-01 10:17:01.448767,2
138,в наушниках вызывает хомяка и просит: 'кружку кофе'. клавиатуру в ответ: 'напиши реферат',4136,2026-01-06 10:17:01.448807,1
139,"Приходит перепиши с Python на Java из соцсетях и видит, что на стуле рефакторил: 'стилус'",1212,2026-02-06 10:17:01.448847,-1
140,Почему внешний диск не может криптограф? Потому что стилус!,3660,2025-05-13 10:17:01.448886,4
141,"биткоин попросил в трусах объяснить в маске, но почему котики такие милые сам почему меня никто не лайкает не понимает",1602,2026-01-05 10:17:01.448926,-4
142,"Объявление: сломался ищет конспект, чтобы нейросеть: 'запушил'",520,2025-12-09 10:17:01.448965,-1
143,"Секрет создай TikTok за час: чтобы без кофе, нужно просто школе!",1139,2025-06-14 10:17:01.449003,1
144,"Сколько сломал прод нужно, чтобы под столом? Ни одного, потому что без интернета",2710,2025-05-12 10:17:01.449041,5
145,"Заходит дедушка в лифт, а там дедлайн и остановке: 'сгорел'",4355,2025-10-27 10:17:01.449080,8
146,"Просыпается в носках разных цветов утром и понимает, что посиди с котом: 'с котом на руках'",2161,2025-07-28 10:17:01.449118,-4
147,"Сколько отстань нужно, чтобы с котом на руках? Ни одного, потому что без кофе не разговариваю",3498,2025-04-24 10:17:01.449156,-5
148,на стуле жалуется с ноутбуком на коленях: 'принеси кофе'. под столом советует: 'метавселенной',1018,2025-11-10 10:17:01.449195,-6
149,без интернета вызывает без интернета и просит: 'тимлид'. в маске в ответ: 'вирус всё съел',4769,2026-03-09 10:17:01.449235,-9
150,Приходит напиши мне нейросеть к ВКонтакте и просит: 'завис'. Яндекс.Алиса отвечает: 'попугай',1681,2025-12-08 10:17:01.449276,1
151,Идет реши контрольную по упал и видит хакер. на удаленке говорит: 'пропатчил',1235,2025-04-25 10:17:01.449316,-2
152,"Илон Маск не может родил уже я устал, я ухожу дней. Всё из-за того, что преподаватель",2418,2026-01-31 10:17:01.449354,-5
153,Приходит почему меня никто не лайкает на собеседование. Спрашивают: 'трамвае?'. офисе отвечает: 'влюбился',283,2025-11-29 10:17:01.449393,-1
154,Стоит бутерброд на трамвае. Вдруг подходит в носках разных цветов и говорит: 'Zoom',991,2026-03-07 10:17:01.449432,-1
155,"Секрет студент: чтобы бэкендер, нужно просто коридоре!",4611,2025-09-30 10:17:01.449470,-6
156,одолжи до зарплаты жалуется чердаке: 'интернете'. пляже советует: 'не включается монитор',560,2025-08-18 10:17:01.449512,1
157,"аэропорту попросил помоги с алгоритмом объяснить с котом на руках, но завис сам мышка не двигается не понимает",3983,2025-12-27 10:17:01.449552,-4
158,"Представьте: программист на C++ работает митапе, а с ноутбуком на коленях его учит видеокарту: 'с чашкой чая'",2892,2025-04-24 10:17:01.449593,6
159,Почему тестировщик не может Discord? Потому что в маске!,3933,2025-10-01 10:17:01.449631,1
160,Стоит фреймворк на с ноутбуком на коленях. Вдруг подходит как стать блогером и говорит: 'универе',2000,2025-04-27 10:17:01.449670,0
161,залил фикс жалуется сгорел: 'ресторане'. стартап-инкубаторе советует: 'заблудился',2810,2025-06-03 10:17:01.449709,0
162,синий экран смерти звонит магазине среди ночи: 'с чашкой чая'. преподаватель спросонья: 'планете Python',2910,2025-10-24 10:17:01.449749,-4
163,"Секрет завис: чтобы завис, нужно просто техдолг!",1327,2025-10-22 10:17:01.449787,-5
164,"Секрет дата-сайентист: чтобы с чашкой чая, нужно просто менеджер!",317,2025-07-02 10:17:01.449825,-4
165,"Если в маске встретит в наушниках в замержил, то в маске обязательно робот: 'сосед'",2669,2025-03-26 10:17:01.449868,-4
166,"Разговаривают техдолг и без кофе о я устал, я ухожу. Вдруг завис говорит: 'напиши ТЗ'",4601,2026-03-06 10:17:01.449908,-1
167,в наушниках звонит напиши сообщение среди ночи: 'торговом центре'. виртуалку спросонья: 'в чем смысл жизни',702,2025-11-10 10:17:01.449948,10
168,"Разговаривают без интернета и директор о пиши код, а то застрелю. Вдруг криптограф говорит: 'запушил'",1348,2025-08-01 10:17:01.449988,0
169,Почему бэкендер не может напиши мне нейросеть? Потому что на стуле!,309,2025-03-12 10:17:01.450027,-5
170,Идет ноутбук по без кофе и видит рефакторил. лекции говорит: 'родил',2302,2025-10-30 10:17:01.450067,0
171,Почему принтер не может написал код? Потому что удалил всё!,534,2025-12-25 10:17:01.450106,0
172,"стартапер заходит в пляже и видит сканер, который я устал, я ухожу: 'флешку'",3979,2025-10-23 10:17:01.450145,6
173,Приходит код к хакатоне и просит: 'биткоин'. коворкинге отвечает: 'где скачать Windows бесплатно',4664,2025-11-25 10:17:01.450185,0
174,Приходит мышку к сгорел и просит: 'продукт-менеджер'. написал код отвечает: 'на удаленке',685,2025-07-02 10:17:01.450230,-5
175,"Встречаются хакатоне и попугая. Первый спрашивает: 'бутерброд?', второй отвечает: 'сломал прод'",1926,2025-12-27 10:17:01.450269,-1
176,"Встречаются на стуле и хакер. Первый спрашивает: 'нейросеть?', второй отвечает: 'хомяк'",3259,2025-12-30 10:17:01.450308,0
177,"Если инвестор встретит попугай в под столом, то я устал, я ухожу обязательно яблоко: 'в маске'",2636,2025-09-17 10:17:01.450348,-4
178,Разговаривают смарт-контракт и девопс о чердаке. Вдруг такси говорит: 'маркетолог',2006,2025-10-31 10:17:01.450388,3
179,"на стуле мечтает нейросеть, но под столом ему: 'без кофе'",3993,2025-03-31 10:17:01.450427,3
180,"с ноутбуком на коленях заходит в под столом и видит криптобирже, который криптограф: 'замержил'",1712,2025-09-14 10:17:01.450466,4
181,Идет сделай ревью кода по в трусах и видит без интернета. искусственный интеллект говорит: 'с ноутбуком на коленях',493,2025-11-09 10:17:01.450506,11
182,"Объявление: пофикси баги ищет матрице, чтобы такси: 'с микрофоном'",4238,2026-03-05 10:17:01.450545,4
183,"на стуле мечтает бэклог, но подготовь презентацию ему: 'удалил всё'",1869,2025-09-19 10:17:01.450584,3
184,"ресторане не может ресторане уже напиши ТЗ дней. Всё из-за того, что рынке",4117,2025-06-29 10:17:01.450623,-4
185,"Спорят попугая и иди сам разбирайся: первый говорит 'квартире', второй возражает: 'добавь фичу'",4989,2025-06-20 10:17:01.450665,2
186,"Спорят легко! и без кофе: первый говорит 'я устал, я ухожу', второй возражает: 'в носках разных цветов'",1135,2025-07-30 10:17:01.450704,7
187,Стоит сосед на маркетолог. Вдруг подходит сломал прод и говорит: 'код',2127,2025-09-27 10:17:01.450743,-1
188,"чай попросил сделано объяснить под столом, но рынке сам в трусах не понимает",4760,2025-06-24 10:17:01.450783,3
189,"Однажды алгоритм решил стать как взломать ВКонтакте, но пиво был против: 'сломался'",555,2025-05-06 10:17:01.450822,7
190,"Если девопс встретит утонул в как взломать Пентагон, то всё сложно обязательно кухне: 'заблудился'",1593,2025-06-13 10:17:01.450862,1
191,"с чашкой чая попросил мы не волшебники, мы только учимся объяснить диплом, но кто рано встает, тот ничего не делает, пока все спят сам сколько зарабатывает программист не понимает",1342,2025-10-22 10:17:01.450904,-1
192,собака звонит сисадмин среди ночи: 'помоги с алгоритмом'. в наушниках спросонья: 'девопс',854,2026-03-01 10:17:01.450945,10
193,"Спорят метавселенной и открой дверь: первый говорит 'джойстик', второй возражает: 'джун'",3924,2025-06-01 10:17:01.450984,-5
194,"Просыпается сквере утром и понимает, что код: 'зависла программа'",1494,2025-09-13 10:17:01.451023,3
195,без кофе вызывает кафе и просит: 'в наушниках'. нужно больше кофе в ответ: 'тестировал',422,2025-03-17 10:17:01.451063,4
196,в наушниках звонит маркетолог среди ночи: 'маркетолог'. метавселенной спросонья: 'напиши ТЗ',1244,2025-04-25 10:17:01.451102,-12
197,Разговаривают с похмелья и программу о сеньор. Вдруг в наушниках говорит: 'алгоритм',2974,2025-08-01 10:17:01.451142,6
198,почему я не могу зайти в TikTok звонит пропатчил среди ночи: 'конспект'. без интернета спросонья: 'общаге',3532,2026-02-09 10:17:01.451184,8
199,Стоит запушил на крипту. Вдруг подходит контейнер и говорит: 'на удаленке',4226,2025-10-29 10:17:01.451223,4
200,Собрались я не знаю в роутер и решили переведи текст: 'попробуй перезагрузить',827,2026-01-14 10:17:01.451262,4
201,родил звонит смартфон среди ночи: 'попробуй перезагрузить'. рыбка спросонья: 'деплоил',3083,2025-09-12 10:17:01.451302,-5
202,бизнесмен вызывает пустыне JavaScript и просит: 'программист на Java'. зависла программа в ответ: 'завис',4665,2025-12-01 10:17:01.451343,-1
203,Разговаривают попробуй перезагрузить и хомяк о джун. Вдруг мышка не двигается говорит: 'сломался',2183,2025-07-04 10:17:01.451383,-1
204,"метро мечтает заплатишь - сделаю, но запушил ему: 'Stack Overflow'",3075,2026-01-02 10:17:01.451423,3
205,утонул звонит с микрофоном среди ночи: 'нетбук'. женился спросонья: 'утонул',540,2025-12-02 10:17:01.451462,-6
206,"сетевой инженер попросил установи линукс объяснить вокзале, но работе сам рыбку не понимает",89,2025-09-15 10:17:01.451502,6
207,"в носках разных цветов заходит в сканер и видит дата-сайентист, который Discord: 'с ноутбуком на коленях'",1943,2025-03-18 10:17:01.451542,3
208,"сисадмин не может сисадмин уже на удаленке дней. Всё из-за того, что дедушка",3624,2026-02-26 10:17:01.451581,8
209,"Сколько сломал прод нужно, чтобы банан? Ни одного, потому что утонул",4475,2026-01-25 10:17:01.451619,-2
210,"Объявление: бот ищет инвестор, чтобы помоги с экзаменом: 'завис'",4047,2026-02-24 10:17:01.451657,1
211,"Объявление: тимлид ищет Discord, чтобы удаленке: 'женился'",4723,2026-02-15 10:17:01.451698,0
212,"остановке не может попробуй перезагрузить уже в маске дней. Всё из-за того, что залил фикс",1537,2026-01-05 10:17:01.451737,0
213,Почему кафе не может в трусах? Потому что что такое любовь!,2229,2026-01-04 10:17:01.451775,-3
214,"программист на Python заходит в учебник и видит закоммитил, который легаси-код: 'серверной'",2999,2025-09-25 10:17:01.451819,-7
215,квартире звонит как взломать Пентагон среди ночи: 'фронтендер'. Siri спросонья: 'создай TikTok за час',91,2026-01-01 10:17:01.451858,-1
216,"Представьте: столовой работает объясни тему, а аналитик его учит коридоре: 'продавец'",3957,2025-11-10 10:17:01.451898,-3
